Параметры моделируемой среды: 
№ пласта	Мощность пласта (м)	Скорость АВ в пласте (м/с)
1	20,000000	600,000000
2	70,000000	1200,000000
3 (последний)		3000,000000

Записанные показания: 
№ пикета	Глубина точки измерения (м)	Время прихода волны к пикету (с)
1	10,000000	0,016667
2	20,000000	0,033333
3	30,000000	0,041667
4	40,000000	0,050000
5	50,000000	0,058333
6	60,000000	0,066667
7	70,000000	0,075000
8	80,000000	0,083333
9	90,000000	0,091667
10	100,000000	0,095000
11	110,000000	0,098333
12	120,000000	0,101667
13	130,000000	0,105000
14	140,000000	0,108333
15	150,000000	0,111667
